id,lon,lat,area_ha,temperature_celsius,rainfall_mm,soil_texture_list,elevation_m,slope,dist_to_coast_km,coastal,ph,soil_texture_id
1,126.6801490304009,-8.56757772372771,0.4939866905338767,24,1959,clay,481,13.937272016533116,13.67986288,True,6.2,12
2,126.66465084486899,-8.642258981362621,1.2156834615149057,25,2021,sandy loam,178,11.151526375480836,13.70842935,True,8.2,3
3,126.65145787343464,-8.639689700596898,0.4688023650379195,24,2554,sandy loam,260,15.552423786270664,13.38716139,True,5.9,3
4,126.67008379416532,-8.643001396783077,2.047883572858594,25,2021,clay,131,7.615144358326731,13.96693359,True,7.0,12
5,126.70491088925353,-8.579704096054215,0.874205786694811,23,2011,clay,657,9.167869219823913,13.22397619,True,7.0,12
6,126.63530884817372,-8.6236818347756,0.11632516738823048,20,2554,clay,1318,30.078060005274164,16.01037749,True,6.2,12
7,126.71191118909366,-8.578946397232983,0.3585015966877275,23,2011,clay,748,20.860424508818895,16.18264904,True,7.0,12
8,126.68643609961855,-8.571145324328262,0.3150976929614611,24,1959,clay loam,452,17.737309056766225,16.29818552,True,6.2,8
9,126.68541615938159,-8.568298684481286,0.9843085938734936,24,1959,clay,422,7.997971483267433,14.31821582,True,7.0,12
10,126.67461600480028,-8.63906573129932,2.1508996588019027,25,2021,loam,129,7.479811999395388,13.98407764,True,7.5,4
11,126.68671078679677,-8.641478337182354,1.7742385392482634,25,2021,clay,200,10.621352031982463,13.56563017,True,7.0,12
12,126.68031599441177,-8.555700645166203,0.22675026906540907,24,1959,clay loam,555,21.892917881898732,13.06200191,True,6.2,8
13,126.6540229329048,-8.624600709867629,0.059341229493460705,25,2021,sandy loam,372,11.315624906708132,12.48202971,True,5.9,3
14,126.65224964073991,-8.638688565198892,0.4534482811404795,24,2554,sandy loam,245,4.935338263390106,15.52383092,True,5.9,3
15,126.73577289272822,-8.657826026783248,0.28102223001855214,25,1821,nan,78,8.666186113589253,14.05213844,True,,
16,126.64523771289602,-8.613457084276725,0.6812379920906767,23,2554,clay,960,27.031496508872586,10.30012418,True,6.2,12
17,126.69405132386797,-8.635077214926847,0.8200663188974808,24,2021,clay,303,17.22184563970792,16.65121664,True,7.0,12
18,126.64587635427765,-8.614348703791027,0.2492791789842358,23,2554,clay,881,37.3348818890137,13.65308065,True,6.2,12
19,126.64648094113431,-8.613405599256986,0.2503494439372623,23,2554,clay,936,33.61732780887754,16.76689421,True,6.2,12
20,126.6415815702042,-8.592250906796881,0.6178455705192288,23,2153,clay,730,30.50258315838807,16.68908324,True,6.2,12
